C9orf152	NM_001012993	hypothetical protein LOC401546
C14orf80	NM_173608/NM_001134875/NM_001134876/NM_001134877	hypothetical protein LOC283643 isoform 3/hypothetical protein LOC283643 isoform 1/hypothetical protein LOC283643 isoform 2/hypothetical protein LOC283643 isoform 4
BAGE2	NM_182482	B melanoma antigen family, member 2
RABL4	NM_006860	RAB, member of RAS oncogene family-like 4
RCVRN	NM_002903	recoverin
ZNF518A	NM_014803	zinc finger protein 518
SHANK1	NM_016148	SH3 and multiple ankyrin repeat domains 1
NLRP7	NM_001127255/NM_139176/NM_206828	NACHT, leucine rich repeat and PYD containing 7
LOC283951	NM_001010878	hypothetical protein LOC283951
CD226	NM_006566	CD226 molecule precursor
STAT3	NM_139276/NM_003150/NM_213662	signal transducer and activator of transcription
UBXN10	NM_152376	UBX domain protein 10
SYNJ2	NM_003898	synaptojanin 2
WDR36	NM_139281	WD repeat domain 36
KRTAP10-6	NM_198688	keratin associated protein 10-6
TPCN2	NM_139075	two pore segment channel 2
MBD4	NM_003925	methyl-CpG binding domain protein 4
LOC113230	NR_024282
ST3GAL6	NM_006100	alpha2,3-sialyltransferase VI
SLAMF8	NM_020125	SLAM family member 8
ATN1	NM_001007026/NM_001940	atrophin-1
ROBO1	NM_133631/NM_002941	roundabout 1 isoform b/roundabout 1 isoform a
SNORD114-21	NR_003214
GPR141	NM_181791	G protein-coupled receptor 141
KRT36	NM_003771	keratin 36
TPH1	NM_004179	tryptophan hydroxylase 1
DDX52	NM_007010/NM_152300	ATP-dependent RNA helicase ROK1 isoform a/ATP-dependent RNA helicase ROK1 isoform b
ZSCAN29	NM_152455	zinc finger protein 690
TRPT1	NM_031472/NM_001033678	tRNA phosphotransferase 1 isoform 2/tRNA phosphotransferase 1 isoform 1
SNORD116-14	NR_003329
HARBI1	NM_173811	harbinger transposase derived 1
ZNF296	NM_145288	zinc finger protein 296
NOP16	NM_016391	NOP16 nucleolar protein homolog
DPEP3	NM_022357/NM_001129758	dipeptidase 3 isoform a/dipeptidase 3 isoform b
TSPAN16	NM_012466	transmembrane 4 superfamily member 16
DENND4A	NM_005848	DENN/MADD domain containing 4A
PTCHD2	NM_020780	patched domain containing 2
LOC145814	NM_001102612	hypothetical protein LOC145814
CAP1	NM_006367/NM_001105530	adenylyl cyclase-associated protein
EIF5A2	NM_020390	eIF-5A2 protein
NT5DC3	NM_016575/NM_001031701	5'-nucleotidase domain containing 3 isoform 2/5'-nucleotidase domain containing 3 isoform 1
SEPT9	NM_006640/NM_001113491/NM_001113492/NM_001113493/NM_001113494/NM_001113495/NM_001113496	septin 9 isoform c/septin 9 isoform a/septin 9 isoform e/septin 9 isoform b/septin 9 isoform d/septin 9 isoform f
SEZ6L2	NM_001114099/NM_012410/NM_201575/NM_001114100	seizure related 6 homolog (mouse)-like 2 isoform
EGFLAM	NM_152403/NM_182801/NM_182798/NM_182799	EGF-like, fibronectin type III and laminin G
VPS11	NM_021729	vacuolar protein sorting 11
NDUFB5	NM_002492	NADH dehydrogenase (ubiquinone) 1 beta
CIDEA	NM_001279/NM_198289	cell death-inducing DFFA-like effector a isoform
TMEM214	NM_001083590/NM_017727	transmembrane protein 214 isoform 2/transmembrane protein 214 isoform 1
FAM83C	NM_178468	hypothetical protein LOC128876
N6AMT1	NM_013240/NM_182749	N-6 adenine-specific DNA methyltransferase 1
IER5L	NM_203434	immediate early response 5-like
IRX1	NM_024337	iroquois homeobox protein 1
OXR1	NM_018002/NM_181354	oxidation resistance 1 isoform 1/oxidation resistance 1 isoform 2
DGKB	NM_145695/NM_004080	diacylglycerol kinase, beta isoform 2/diacylglycerol kinase, beta isoform 1
FBXW9	NM_032301	F-box and WD-40 domain protein 9
WDR4	NM_018669/NM_033661	WD repeat domain 4 protein
PDC	NM_002597/NM_022576	phosducin isoform a/phosducin isoform b
VPS33B	NM_018668	vacuolar protein sorting 33B (yeast homolog))
HEXB	NM_000521	hexosaminidase B preproprotein
TCEB3	NM_003198	elongin A
CRLF1	NM_004750	cytokine receptor-like factor 1
ABI3BP	NM_015429	ABI gene family, member 3 (NESH) binding
C8orf22	NM_001007176	hypothetical protein LOC492307
PYCR1	NM_153824/NM_006907	pyrroline-5-carboxylate reductase 1 isoform 2/pyrroline-5-carboxylate reductase 1 isoform 1
CDK5R2	NM_003936	cyclin-dependent kinase 5, regulatory subunit 2
C12orf60	NM_175874	hypothetical protein LOC144608
WAS	NM_000377	Wiskott-Aldrich syndrome protein
CCBL2	NM_001008661/NM_001008662/NM_019610	kynurenine aminotransferase III isoform 1/kynurenine aminotransferase III isoform 2/kynurenine aminotransferase III isoform 3
MADD	NM_003682/NM_130471/NM_130472/NM_130474/NM_130470/NM_130473/NM_130475/NM_130476/NM_001135943/NM_001135944	MAP-kinase activating death domain-containing
C5orf34	NM_198566	hypothetical protein LOC375444
WDR42A	NM_015726	H326
KLF12	NM_007249	Kruppel-like factor 12
HSPA1A	NM_005345	heat shock 70kDa protein 1A
ITM2C	NM_030926/NM_001012514/NM_001012516	integral membrane protein 2C isoform 1/integral membrane protein 2C isoform 3/integral membrane protein 2C isoform 2
DAPK2	NM_014326	death-associated protein kinase 2
LOC442590	NM_001099435	hypothetical protein LOC442590
SUMF2	NM_001130070/NM_001130069/NM_015411/NM_001042468/NM_001042469/NM_001042470	sulfatase modifying factor 2 isoform f/sulfatase modifying factor 2 isoform e/sulfatase modifying factor 2 isoform b/sulfatase modifying factor 2 isoform a/sulfatase modifying factor 2 isoform c/sulfatase modifying factor 2 isoform d
CENPA	NM_001809/NM_001042426	centromere protein A isoform a/centromere protein A isoform b
TCTEX1D2	NM_152773	Tctex1 domain containing 2
TMED5	NM_016040	transmembrane emp24 protein transport domain
CDH6	NM_004932	cadherin 6, type 2 preproprotein
BRP44	NM_015415	brain protein 44
GSTT2	NM_000854	glutathione S-transferase theta 2
THG1L	NM_017872	interphase cytoplasmic foci protein 45
GABRA2	NM_001114175/NM_000807	gamma-aminobutyric acid A receptor, alpha 2
C14orf166	NM_016039	homeobox prox 1
MYL1	NM_079422/NM_079420	fast skeletal myosin alkali light chain 1
TNFSF18	NM_005092	tumor necrosis factor (ligand) superfamily,
PAP2D	NM_001010861/NM_001037317	phosphatidic acid phosphatase type 2d isoform 2/phosphatidic acid phosphatase type 2d isoform 1
PPIB	NM_000942	peptidylprolyl isomerase B precursor
SCARNA11	NR_003012
KLHL4	NM_057162/NM_019117	kelch-like 4 isoform 2/kelch-like 4 isoform 1
CCDC127	NM_145265	coiled-coil domain containing 127
CALY	NM_015722	dopamine receptor D1 interacting protein
SFN	NM_006142	stratifin
FRAP1	NM_004958	FK506 binding protein 12-rapamycin associated
PLSCR5	NM_001085420	phospholipid scramblase family, member 5
GOLGA5	NM_005113	Golgi autoantigen, golgin subfamily a, 5
SDCCAG1	NM_004713	serologically defined colon cancer antigen 1
C10orf95	NM_024886	hypothetical protein LOC79946
C1orf163	NM_023077	hypothetical protein LOC65260
SNHG7	NR_003672
HAS2AS	NR_002835
OR5AN1	NM_001004729	olfactory receptor, family 5, subfamily AN,
LACE1	NM_145315	lactation elevated 1
PYDC2	NM_001083308	pyrin domain containing 2
CENPN	NM_018455/NM_001100624/NM_001100625	centromere protein N isoform 3/centromere protein N isoform 2/centromere protein N isoform 1
OR10K2	NM_001004476	olfactory receptor, family 10, subfamily K,
TMED2	NM_006815	coated vesicle membrane protein
ANG	NM_001145/NM_001097577	angiogenin, ribonuclease, RNase A family, 5
UGT1A6	NM_205862/NM_001072	UDP glycosyltransferase 1 family, polypeptide A6
C2orf76	NM_001017927	hypothetical protein LOC130355
LOC678655	NR_015382
OR5AC2	NM_054106	olfactory receptor, family 5, subfamily AC,
C16orf88	NM_001012991	hypothetical protein LOC400506
U2AF1	NM_001025204/NM_001025203/NM_006758	U2 small nuclear RNA auxillary factor 1 isoform
NMT2	NM_004808	N-myristoyltransferase 2
OSGEPL1	NM_022353	O-sialoglycoprotein endopeptidase-like 1
DFNB31	NM_015404/NM_001083885	CASK-interacting protein CIP98 isoform 1/CASK-interacting protein CIP98 isoform 2
SLC6A20	NM_020208/NM_022405	solute carrier family 6, member 20 isoform 1/solute carrier family 6, member 20 isoform 2
DKC1	NM_001363	dyskerin
FXYD4	NM_173160	FXYD domain containing ion transport regulator
WDR64	NM_144625	WD repeat domain 64
CREBZF	NM_001039618	HCF-binding transcription factor Zhangfei
DAZ1	NM_004081	deleted in azoospermia
PRPSAP1	NM_002766	phosphoribosyl pyrophosphate
GCHFR	NM_005258	GTP cyclohydrolase I feedback regulatory
TTC7A	NM_020458	tetratricopeptide repeat domain 7A
LOC196993	NM_001102658	hypothetical protein LOC196993
UBD	NM_006398	ubiquitin D
S100A1	NM_006271	S100 calcium binding protein A1
RPL6	NM_001024662/NM_000970	ribosomal protein L6
DNAJB6	NM_005494/NM_058246	DnaJ (Hsp40) homolog, subfamily B, member 6
NAGS	NM_153006	N-acetylglutamate synthase
LOC441246	NR_003536
KERA	NM_007035	keratocan
FRMPD2	NM_152428/NM_001018071/NM_001017929/NM_001042512	FERM and PDZ domain containing 2 isoform 1/FERM and PDZ domain containing 2 isoform 3/FERM and PDZ domain containing 2 isoform 2/FERM and PDZ domain containing 2 isoform 4
UBE2B	NM_003337	ubiquitin-conjugating enzyme E2B
MT1X	NM_005952	metallothionein 1X
KEAP1	NM_012289/NM_203500	kelch-like ECH-associated protein 1
MST1	NM_020998	macrophage stimulating 1 (hepatocyte growth
OMA1	NM_145243	OMA1 homolog, zinc metallopeptidase
BCL2L13	NM_015367	BCL2-like 13 (apoptosis facilitator)
ABLIM2	NM_001130086/NM_001130083/NM_001130085/NM_001130084/NM_001130087/NM_001130088/NM_032432	actin binding LIM protein family, member 2
JAZF1	NM_175061	JAZF zinc finger 1
TMEM63B	NM_018426	transmembrane protein 63B
S100A8	NM_002964	S100 calcium-binding protein A8
ARFIP2	NM_012402	ADP-ribosylation factor interacting protein 2
UROS	NM_000375	uroporphyrinogen III synthase
TRAPPC10	NM_003274	trafficking protein particle complex 10
KHDRBS2	NM_152688	KH domain-containing, RNA-binding, signal
FAM173A	NM_023933	hypothetical protein LOC65990
POLQ	NM_199420	DNA polymerase theta
SOAT1	NM_003101	sterol O-acyltransferase 1
SPAG4	NM_003116	sperm associated antigen 4
MRPS30	NM_016640	mitochondrial ribosomal protein S30
KRTAP21-2	NM_181617	keratin associated protein 21-2
OR2T11	NM_001001964	olfactory receptor, family 2, subfamily T,
TCEB3B	NM_016427	elongin A2
ORAOV1	NM_153451	oral cancer overexpressed 1
ZNF184	NM_007149	zinc finger protein 184
ADAM21	NM_003813	ADAM metallopeptidase domain 21 preproprotein
GDPD1	NM_182569	glycerophosphodiester phosphodiesterase domain
SPINLW1	NM_181502/NM_020398	serine peptidase inhibitor-like, with Kunitz and
PRR14	NM_024031	proline rich 14
KCTD9	NM_017634	potassium channel tetramerisation domain
HCG4P6	NR_001317
OSAP	NM_032623	ovary-specific acidic protein
PABPC4L	NM_001114734	poly(A) binding protein, cytoplasmic 4-like
PRR11	NM_018304	proline rich 11
NUDT3	NM_006703	nudix-type motif 3
GSTM1L	NR_003112
HIST1H4K	NM_003541	histone cluster 1, H4k
DFNA5	NM_001127454/NM_001127453/NM_004403	deafness, autosomal dominant 5 protein isoform
GABPA	NM_002040	GA binding protein transcription factor, alpha
SNORA11	NR_002953
ZNF260	NM_001012756	zinc finger protein 260
POLB	NM_002690	polymerase (DNA directed), beta
PTAR1	NM_001099666	protein prenyltransferase alpha subunit repeat
SPACA5B	NM_001079900	sperm acrosome associated 5B
SEC31A	NM_001077208/NM_001077206/NM_001077207/NM_014933/NM_016211	SEC31 homolog A isoform 3/SEC31 homolog A isoform 4/SEC31 homolog A isoform 1/SEC31 homolog A isoform 2
TRIM58	NM_015431	tripartite motif-containing 58
IGJ	NM_144646	immunoglobulin J chain
TAS2R14	NM_023922	taste receptor, type 2, member 14
VPS8	NM_001009921/NM_015303	vacuolar protein sorting 8 homolog isoform a/vacuolar protein sorting 8 homolog isoform b
H1F0	NM_005318	H1 histone family, member 0
UGT2A1	NM_006798	UDP glycosyltransferase 2 family, polypeptide
TOR1B	NM_014506	torsin family 1, member B (torsin B)
LSS	NM_002340/NM_001001438	lanosterol synthase
LOC651503	NM_001080842	seven transmembrane helix receptor
HNRNPC	NM_004500/NM_001077443/NM_031314/NM_001077442	heterogeneous nuclear ribonucleoprotein C
TMEM100	NM_018286/NM_001099640	transmembrane protein 100
SNORD115-12	NR_003304
LOC116349	NM_138464	hypothetical protein LOC116349
OR51M1	NM_001004756	olfactory receptor, family 51, subfamily M,
GAPT	NM_152687	GRB2-binding adaptor protein, transmembrane
ISG15	NM_005101	ISG15 ubiquitin-like modifier
CCDC142	NM_032779	coiled-coil domain containing 142
ZCCHC14	NM_015144	zinc finger, CCHC domain containing 14
CREBL2	NM_001310	cAMP responsive element binding protein-like 2
TGDS	NM_014305	TDP-glucose 4,6-dehydratase
SNORD125	NR_003686
DC2	NM_021227	DC2 protein
CACNA2D3	NM_018398	calcium channel, voltage-dependent, alpha
ZNF429	NM_001001415	zinc finger protein 429
CCRL2	NM_003965/NM_001130910	chemokine (C-C motif) receptor-like 2 isoform 1/chemokine (C-C motif) receptor-like 2 isoform 2
LYPD6	NM_194317	LY6/PLAUR domain containing 6
DGKK	NM_001013742	diacylglycerol kinase kappa
SUCLG1	NM_003849	succinate-CoA ligase, GDP-forming, alpha
OR51I1	NM_001005288	olfactory receptor, family 51, subfamily I,
MAGEH1	NM_014061	melanoma antigen, family H, 1 protein
PRPF40A	NM_017892	formin binding protein 3
C9orf106	NM_001012715	hypothetical protein LOC414318
SMR3A	NM_012390	submaxillary gland androgen regulated protein 3
C21orf54	NR_024102
THAP2	NM_031435	THAP domain containing, apoptosis associated
SPINK2	NM_021114	serine protease inhibitor, Kazal type 2
NPY5R	NM_006174	neuropeptide Y receptor Y5
IRF4	NM_002460	interferon regulatory factor 4
SPESP1	NM_145658	sperm equatorial segment protein 1
OR10S1	NM_001004474	olfactory receptor, family 10, subfamily S,
DTD1	NM_080820	D-tyrosyl-tRNA deacylase 1
TUBE1	NM_016262	tubulin, epsilon 1
CCDC149	NM_173463/NM_001130726	coiled-coil domain containing 149 isoform 1/coiled-coil domain containing 149 isoform 2
OR3A4	NM_001005334/NR_024128	olfactory receptor, family 3, subfamily A,
DDX19A	NM_018332	DDX19-like protein
PDPN	NM_006474/NM_198389/NM_001006624/NM_001006625	lung type-I cell membrane-associated
TTTY16	NR_001552
PLCXD1	NM_018390	phosphatidylinositol-specific phospholipase C, X
MGAM	NM_004668	maltase-glucoamylase
COL3A1	NM_000090	collagen type III alpha 1 preproprotein
GFM2	NM_170681/NM_032380/NM_170691	mitochondrial elongation factor G2 isoform 3/mitochondrial elongation factor G2 isoform 1/mitochondrial elongation factor G2 isoform 2
PHRF1	NM_020901	PHD and ring finger domains 1
LIPM	NM_001128215	lipase, family member M
OR5A2	NM_001001954	olfactory receptor, family 5, subfamily A,
PSG9	NM_002784	pregnancy specific beta-1-glycoprotein 9
ARHGEF11	NM_198236/NM_014784	Rho guanine nucleotide exchange factor (GEF) 11
IVNS1ABP	NM_006469	influenza virus NS1A binding protein
SIGIRR	NM_021805/NM_001135053/NM_001135054	single Ig IL-1R-related molecule
DUSP19	NM_080876	dual specificity phosphatase 19
VCX3B	NM_001001888	variable charge, X-linked 3B
DNAJC14	NM_032364	dopamine receptor interacting protein
ACSS1	NM_032501	acyl-CoA synthetase short-chain family member 1
UBXN8	NM_005671	reproduction 8
IL1RAPL2	NM_017416	interleukin 1 receptor accessory protein-like 2
C4orf30	NM_017741	hypothetical protein LOC54876
SEPT4	NM_080415/NM_080416/NM_004574	septin 4 isoform 2/septin 4 isoform 3/septin 4 isoform 1
LANCL3	NM_198511	LanC lantibiotic synthetase component C-like 3
SPAG17	NM_206996	sperm associated antigen 17
HNF1A	NM_000545	transcription factor 1, hepatic
PRDX3	NM_006793/NM_014098	peroxiredoxin 3 isoform a precursor/peroxiredoxin 3 isoform b
P4HA2	NM_001017973/NM_004199/NM_001017974	prolyl 4-hydroxylase, alpha II subunit isoform 2/prolyl 4-hydroxylase, alpha II subunit isoform 1
MOV10	NM_001130079/NM_020963	Mov10, Moloney leukemia virus 10, homolog
RFWD3	NM_018124	ring finger and WD repeat domain 3
SMC2	NM_006444/NM_001042551/NM_001042550	structural maintenance of chromosomes 2-like 1
PECAM1	NM_000442	platelet/endothelial cell adhesion molecule
MIXL1	NM_031944	Mix-like homeobox protein 1
TMEM9	NM_016456	transmembrane protein 9
ZNF174	NM_001032292/NM_003450	zinc finger protein 174 isoform b/zinc finger protein 174 isoform a
FAM86A	NM_201400/NM_201598	hypothetical protein LOC196483 isoform 1/hypothetical protein LOC196483 isoform 2
MYH14	NM_001077186/NM_024729	myosin, heavy chain 14 isoform 1/myosin, heavy chain 14 isoform 2
CCR8	NM_005201	chemokine (C-C motif) receptor 8
LRRC52	NM_001005214	leucine rich repeat containing 52
CC2D2A	NM_001080522/NM_020785/NR_024098	coiled-coil and C2 domain containing 2A isoform
VPS37C	NM_017966	vacuolar protein sorting 37C
GPATCH1	NM_018025	G patch domain containing 1
B3GNT8	NM_198540	UDP-GlcNAc:betaGal
TBX4	NM_018488	T-box 4
CNR2	NM_001841	cannabinoid receptor 2 (macrophage)
VWDE	NM_001135924	von Willebrand factor D and EGF domains
PCDH1	NM_002587/NM_032420	protocadherin 1 isoform 1 precursor/protocadherin 1 isoform 2 precursor
TPRG1	NM_198485	tumor protein p63 regulated 1
OCIAD2	NM_001014446/NM_152398	OCIA domain containing 2 isoform 1/OCIA domain containing 2 isoform 2
KLHL33	NM_001109997	kelch-like 33
PLCG2	NM_002661	phospholipase C, gamma 2
MAGEA2B	NM_153488	melanoma antigen family A, 2B
LOC200030	NM_183372	hypothetical protein LOC200030
HRH3	NM_007232	histamine receptor H3
KIAA0247	NM_014734	hypothetical protein LOC9766
CAPN13	NM_144575	calpain 13
CCR1	NM_001295	chemokine (C-C motif) receptor 1
DNAJA2	NM_005880	DnaJ subfamily A member 2
UVRAG	NM_003369	UV radiation resistance associated
PTPRN2	NM_002847/NM_130842/NM_130843	protein tyrosine phosphatase, receptor type, N
ITGA2B	NM_000419	integrin alpha 2b preproprotein
CLDN5	NM_003277/NM_001130861	claudin 5
PSAP	NM_001042466/NM_001042465/NM_002778	prosaposin isoform c preproprotein/prosaposin isoform b preproprotein/prosaposin isoform a preproprotein
ZNF512	NM_032434	zinc finger protein 512
CCDC140	NM_153038	coiled-coil domain containing 140
LRRC55	NM_001005210	leucine rich repeat containing 55
CYP26C1	NM_183374	cytochrome P450, family 26, subfamily C,
C8orf47	NM_173549	hypothetical protein LOC203111
LYN	NM_001111097/NM_002350	Yamaguchi sarcoma viral (v-yes-1) oncogene
DUSP6	NM_022652/NM_001946	dual specificity phosphatase 6 isoform b/dual specificity phosphatase 6 isoform a
TGFB3	NM_003239	transforming growth factor, beta 3
ELK1	NM_005229/NM_001114123	ELK1 protein
PCDH11Y	NM_032971/NM_032973/NM_032972	protocadherin 11 Y-linked isoform a/protocadherin 11 Y-linked isoform c/protocadherin 11 Y-linked isoform b
HGD	NM_000187	homogentisate 1,2-dioxygenase
C17orf58	NM_181656/NM_181655	hypothetical protein LOC284018 isoform b/hypothetical protein LOC284018 isoform a
AARSD1	NM_025267/NM_001136042	alanyl-tRNA synthetase domain containing 1
SERPINE2	NM_006216/NM_001136528/NM_001136529/NM_001136530	plasminogen activator inhibitor type 1, member 2
MYO3A	NM_017433	myosin IIIA
C14orf73	NM_001077594	hypothetical protein LOC91828
C8orf80	NM_001010906	hypothetical protein LOC389643
ADAM33	NM_025220/NM_153202	ADAM metallopeptidase domain 33 isoform alpha/ADAM metallopeptidase domain 33 isoform beta
MAPK6	NM_002748	mitogen-activated protein kinase 6
ZNF491	NM_152356	zinc finger protein 491
TCN1	NM_001062	transcobalamin I precursor
KRTAP19-2	NM_181608	keratin associated protein 19-2
PPAN-P2RY11	NM_001040664	PPAN-P2RY11 protein
SLC24A6	NM_024959	solute carrier family 24 member 6
UBE2R2	NM_017811	ubiquitin-conjugating enzyme UBC3B
LRRC24	NM_001024678	leucine rich repeat containing 24
RNFT1	NM_016125	PTD016 protein
H1FNT	NM_181788	H1 histone family, member N, testis-specific
TATDN2	NM_014760	TatD DNase domain containing 2
LILRB1	NM_001081637/NM_001081639/NM_006669/NM_001081638	leukocyte immunoglobulin-like receptor,
FAM65B	NM_014722/NM_015864	hypothetical protein LOC9750 isoform 1/hypothetical protein LOC9750 isoform 2
