NM_000367	TPMT	thiopurine S-methyltransferase
NM_177405	CECR1	cat eye syndrome critical region protein 1
NM_002364	MAGEB2	melanoma antigen family B, 2
NM_177414	PPAP2B	phosphatidic acid phosphatase type 2B
NM_177415	MAGEB1	melanoma antigen family B, 1
NM_002367	MAGEB4	melanoma antigen family B, 4
NM_004175	SNRPD3	small nuclear ribonucleoprotein polypeptide D3
NM_177422	EIF2C3	eukaryotic translation initiation factor 2C, 3
NM_177423	PPFIA1	PTPRF interacting protein alpha 1 isoform a
NM_177427	P2RX7	purinergic receptor P2X7 isoform b
NM_177434	FTSJ1	FtsJ homolog 1 isoform b
NM_001316	CSE1L	CSE1 chromosome segregation 1-like protein
NM_177438	DICER1	dicer1
NM_177439	FTSJ1	FtsJ homolog 1 isoform b
NM_032656	DHX37	DEAH (Asp-Glu-Ala-His) box polypeptide 37
NM_177444	PPFIBP1	PTPRF interacting protein binding protein 1
NM_177458	LYNX1	secreted Ly6/uPAR related protein 2 isoform b
NM_177476	LYNX1	Ly-6 neurotoxin-like protein 1 isoform c
NM_177477	LYNX1	Ly-6 neurotoxin-like protein 1 isoform c
NM_177483	GPLD1	glycosylphosphatidylinositol specific
NM_002909	REG1A	regenerating islet-derived 1 alpha precursor
NM_177524	MEST	mesoderm specific transcript isoform b
NM_177525	MEST	mesoderm specific transcript isoform b
NM_002402	MEST	mesoderm specific transcript isoform a
NM_177526	PPAP2C	phosphatidic acid phosphatase type 2C isoform 2
NM_012110	CHIC2	cysteine-rich hydrophobic domain 2
NM_177528	SULT1A2	sulfotransferase family, cytosolic, 1A,
NM_177529	SULT1A1	sulfotransferase family, cytosolic, 1A,
NM_177530	SULT1A1	sulfotransferase family, cytosolic, 1A,
NM_006332	IFI30	interferon, gamma-inducible protein 30
NM_177534	SULT1A1	sulfotransferase family, cytosolic, 1A,
NM_177536	SULT1A1	sulfotransferase family, cytosolic, 1A,
NM_177538	CYP20A1	cytochrome P450, family 20, subfamily A,
NM_177539	TAS1R1	sweet taste receptor T1r isoform a
NM_177540	TAS1R1	sweet taste receptor T1r isoform c
NM_177541	TAS1R1	sweet taste receptor T1r isoform d
NM_177542	SNRPD2	small nuclear ribonucleoprotein polypeptide D2
NM_177543	PPAP2C	phosphatidic acid phosphatase type 2C isoform 3
NM_003166	SULT1A3	sulfotransferase family, cytosolic, 1A,
NM_177552	SULT1A3	sulfotransferase family, cytosolic, 1A,
NM_177553	GAS2	growth arrest-specific 2
NM_004300	ACP1	acid phosphatase 1 isoform c
NM_007099	ACP1	acid phosphatase 1 isoform b
NM_177554	ACP1	acid phosphatase 1 isoform a
NM_004045	ATOX1	antioxidant protein 1
NM_177556	TRO	trophinin isoform 2
NM_177924	ASAH1	N-acylsphingosine amidohydrolase (acid
NM_177925	H2AFJ	H2A histone family, member J isoform 2
NM_003167	SULT2A1	sulfotransferase family, cytosolic, 2A,
NM_176853	CTMP	carboxyl-terminal modulator protein isoform b
NM_177926	CSRP2BP	CSRP2 binding protein isoform b
NM_016157	TRO	trophinin isoform 2
NM_177937	GOLPH2	golgi phosphoprotein 2
NM_177939	PH-4	hypoxia-inducible factor prolyl 4-hydroxylase
NM_177951	PPM1A	protein phosphatase 1A isoform 2
NM_177952	PPM1A	protein phosphatase 1A isoform 1
NM_018431	DOK5	DOK5 protein isoform a
NM_177959	DOK5	DOK5 protein isoform b
NM_177968	PPM1B	protein phosphatase 1B isoform 2
NM_177969	PPM1B	protein phosphatase 1B isoform 3
NM_022130	GOLPH3	golgi phosphoprotein 3
NM_022149	MAGEF1	melanoma antigen family F, 1
NM_138423	CASC4	cancer susceptibility candidate 4 isoform a
NM_177972	TUB	tubby isoform b
NM_177973	SULT2B1	sulfotransferase family, cytosolic, 2B, member 1
NM_177974	CASC4	cancer susceptibility candidate 4 isoform b
NM_177976	ARL6	ADP-ribosylation factor-like 6
NM_177977	HAP1	huntingtin-associated protein 1 isoform 2
NM_177978	CHRD	chordin isoform b
NM_177979	CHRD	chordin isoform c
NM_177980	CDH26	cadherin-like 26 isoform a
NM_177983	PPM1G	protein phosphatase 1G
NM_030931	DEFB126	beta defensin 126 preproprotein
NM_015099	CAMTA2	calmodulin binding transcription activator 2
NM_006097	MYL9	myosin regulatory light polypeptide 9 isoform a
NM_177985	ARL5	ADP-ribosylation factor-like 5 isoform 2
NM_018839	NSFL1C	p47 protein isoform b
NM_177989	ACTL6A	actin-like 6A isoform 2
NM_177990	PAK7	p21-activated kinase 7
NM_177991	DUSP15	dual specificity phosphatase 15 isoform b
NM_012156	EPB41L1	erythrocyte membrane protein band 4.1-like 1
NM_177996	EPB41L1	erythrocyte membrane protein band 4.1-like 1
NM_177999	ASB6	ankyrin repeat and SOCS box-containing 6 isoform
NM_021131	PPP2R4	regulatory subunit PR 53 of protein phosphatase
NM_178000	PPP2R4	regulatory subunit PR 53 of protein phosphatase
NM_178001	PPP2R4	regulatory subunit PR 53 of protein phosphatase
NM_178003	PPP2R4	regulatory subunit PR 53 of protein phosphatase
NM_152910	DGKH	diacylglycerol kinase, eta isoform 1
NM_178010	SOX5	SRY (sex determining region Y)-box 5 isoform c
NM_014826	CDC42BPA	CDC42-binding protein kinase alpha isoform A
NM_014906	PPM1E	protein phosphatase 1E
NM_080473	GATA5	GATA binding protein 5
NM_178025	GGTL3	gamma-glutamyltransferase-like 3 isoform b
NM_178026	GGTL3	gamma-glutamyltransferase-like 3 isoform c
NM_030934	C1orf25	N2,N2-dimethylguanosine tRNA
NM_006653	FRS3	fibroblast growth factor receptor substrate 3
NM_178037	RAB6IP2	RAB6-interacting protein 2 isoform beta
NM_178038	RAB6IP2	RAB6-interacting protein 2 isoform gamma
NM_178039	RAB6IP2	RAB6-interacting protein 2 isoform delta
NM_178040	RAB6IP2	RAB6-interacting protein 2 isoform epsilon
NM_052830	GGTL3	gamma-glutamyltransferase-like 3 isoform a
NM_002711	PPP1R3A	protein phosphatase 1 glycogen-binding
NM_004480	FUT8	fucosyltransferase 8 isoform b
NM_178042	ACTL6A	actin-like 6A isoform 2
NM_178043	LARP2	La ribonucleoprotein domain family member 2
NM_178138	LHX3	LIM homeobox protein 3 isoform a
NM_178140	PDZK3	PDZ domain containing 3 isoform a
NM_178150	FBXO18	F-box only protein, helicase, 18 isoform 2
NM_178151	DCX	doublecortin isoform c
NM_178152	DCX	doublecortin isoform b
NM_178153	DCX	doublecortin isoform c
NM_178154	FUT8	fucosyltransferase 8 isoform a
NM_178155	FUT8	fucosyltransferase 8 isoform a
NM_178156	FUT8	fucosyltransferase 8 isoform a
NM_178157	FUT8	fucosyltransferase 8 isoform c
NM_178159	FLJ12949	hypothetical protein LOC65095 isoform 2
NM_178170	NEK8	NIMA-related kinase 8
NM_178181	CDCP1	CUB domain-containing protein 1 isoform 2
NM_178190	ATPIF1	ATPase inhibitory factor 1 isoform 2 precursor
NM_014587	SOX8	SRY (sex determining region Y)-box 8
NM_006795	EHD1	EH-domain containing 1
NM_031439	SOX7	SRY-box 7
NM_178238	PILRB	paired immunoglobulin-like type 2 receptor beta
NM_178272	PILRA	paired immunoglobulin-like type 2 receptor alpha
NM_178273	PILRA	paired immunoglobulin-like type 2 receptor alpha
NM_013439	PILRA	paired immunoglobulin-like type 2 receptor alpha
NM_006306	SMC1L1	SMC1 structural maintenance of chromosomes
NM_006547	IMP-3	IGF-II mRNA-binding protein 3
NM_006317	BASP1	brain abundant, membrane attached signal protein
NM_000178	GSS	glutathione synthetase
NM_031442	TMEM47	transmembrane 4 superfamily member 10
NM_178311	GGTLA4	gamma-glutamyltransferase-like activity 4
NM_178312	GGTLA4	gamma-glutamyltransferase-like activity 4
NM_016564	BM88	BM88 antigen
NM_178324	SPTLC1	serine palmitoyltransferase subunit 1 isoform b
NM_021081	GHRH	growth hormone releasing hormone preproprotein
NM_001837	CCR3	CC chemokine receptor 3
NM_178329	CCR3	CC chemokine receptor 3
NM_178331	GNRH2	gonadotropin-releasing hormone 2 isoform c
NM_178332	GNRH2	gonadotropin-releasing hormone 2 isoform b
NM_144773	GPR73L1	G protein-coupled receptor 73-like 1
NM_080820	HARS2	histidyl-tRNA synthetase 2
NM_178336	MRPL52	mitochondrial ribosomal protein L52 isoform a
NM_016652	CRNKL1	crooked neck-like 1 protein
NM_178348	LCE1A	late cornified envelope 1A
NM_178349	LCE1B	late cornified envelope 1B
NM_178351	LCE1C	late cornified envelope 1C
NM_001001330	C10orf74	receptor expression enhancing protein 3
NM_178352	LCE1D	late cornified envelope 1D
NM_178353	LCE1E	late cornified envelope 1E
NM_178354	LCE1F	late cornified envelope 1F
NM_178356	LCE4A	late cornified envelope 4A
NM_178424	SOX30	SRY (sex determining region Y)-box 30 isoform a
NM_178426	ARNT	aryl hydrocarbon receptor nuclear translocator
NM_178427	ARNT	aryl hydrocarbon receptor nuclear translocator
NM_178428	LCE2A	late cornified envelope 2A
NM_178429	LCE2C	late cornified envelope 2C
NM_178430	LCE2D	late cornified envelope 2D
NM_178431	LCE3A	late cornified envelope 3A
NM_178433	LCE3B	late cornified envelope 3B
NM_178434	LCE3C	late cornified envelope 3C
NM_178435	LCE3E	late cornified envelope 3E
NM_178438	LCE5A	late cornified envelope 5A
NM_178441	ZFYVE1	zinc finger, FYVE domain containing 1 isoform 2
NM_002110	HCK	hemopoietic cell kinase isoform p61HCK
NM_178445	CCRL1	chemokine (C-C motif) receptor-like 1
NM_178578	PSMF1	proteasome inhibitor subunit 1 isoform 1
NM_178579	PSMF1	proteasome inhibitor subunit 1 isoform 2
NM_178583	WDFY3	WD repeat and FYVE domain containing 3 isoform
NM_178584	SEPT10	septin 10 isoform 2
NM_178585	WDFY3	WD repeat and FYVE domain containing 3 isoform
NM_178586	PPP2R5C	gamma isoform of regulatory subunit B56, protein
NM_178587	PPP2R5C	gamma isoform of regulatory subunit B56, protein
NM_178588	PPP2R5C	gamma isoform of regulatory subunit B56, protein
NM_178818	CKLFSF4	chemokine-like factor superfamily 4 isoform 1
NM_000457	HNF4A	hepatocyte nuclear factor 4 alpha isoform b
NM_178849	HNF4A	hepatocyte nuclear factor 4 alpha isoform a
NM_178850	HNF4A	hepatocyte nuclear factor 4 alpha isoform c
NM_178868	CKLFSF8	chemokine-like factor superfamily 8
NM_018419	SOX18	SRY-box 18
NM_180699	U1SNRNPBP	U11/U12 snRNP 35K isoform b
NM_180703	U1SNRNPBP	U11/U12 snRNP 35K isoform b
NM_006245	PPP2R5D	delta isoform of regulatory subunit B56, protein
NM_007227	GPR45	G protein-coupled receptor 45
NM_181446	FSHR	follicle stimulating hormone receptor isoform 2
NM_180976	PPP2R5D	delta isoform of regulatory subunit B56, protein
NM_180977	PPP2R5D	delta isoform of regulatory subunit B56, protein
NM_180982	MRPL52	mitochondrial ribosomal protein L52 isoform c
NM_181050	AXIN1	axin 1 isoform b
NM_181054	HIF1A	hypoxia-inducible factor 1, alpha subunit
NM_181077	GM88	GM88 autoantigen isoform c
NM_181078	IL21R	interleukin 21 receptor precursor
NM_181079	IL21R	interleukin 21 receptor precursor
NM_145298	APOBEC3F	apolipoprotein B mRNA editing enzyme, catalytic
NM_181265	WDR17	WD repeat domain 17 isoform 2
NM_181268	CKLFSF1	chemokine-like factor superfamily 1 isoform 14
NM_181269	CKLFSF1	chemokine-like factor superfamily 1 isoform 1
NM_181270	CKLFSF1	chemokine-like factor superfamily 1 isoform 2
NM_181271	CKLFSF1	chemokine-like factor superfamily 1 isoform 3
NM_181272	CKLFSF1	chemokine-like factor superfamily 1 isoform 4
NM_014932	NLGN1	neuroligin 1
NM_181283	CKLFSF1	chemokine-like factor superfamily 1 isoform 5
NM_181285	CKLFSF1	chemokine-like factor superfamily 1 isoform 6
NM_181286	CKLFSF1	chemokine-like factor superfamily 1 isoform 6
NM_181287	CKLFSF1	chemokine-like factor superfamily 1 isoform 7
NM_181288	CKLFSF1	chemokine-like factor superfamily 1 isoform 7
NM_181289	CKLFSF1	chemokine-like factor superfamily 1 isoform 8
NM_181290	CKLFSF1	chemokine-like factor superfamily 1 isoform 9
NM_181291	WDR20	WD repeat domain 20 isoform 1
NM_181292	CKLFSF1	chemokine-like factor superfamily 1 isoform 10
NM_181293	CKLFSF1	chemokine-like factor superfamily 1 isoform 9
NM_181294	CKLFSF1	chemokine-like factor superfamily 1 isoform 11
NM_181295	CKLFSF1	chemokine-like factor superfamily 1 isoform 11
NM_181296	CKLFSF1	chemokine-like factor superfamily 1 isoform 12
NM_181297	CKLFSF1	chemokine-like factor superfamily 1 isoform 15
NM_181298	CKLFSF1	chemokine-like factor superfamily 1 isoform 15
NM_181299	CKLFSF1	chemokine-like factor superfamily 1 isoform 15
NM_181300	CKLFSF1	chemokine-like factor superfamily 1 isoform 15
NM_181301	CKLFSF1	chemokine-like factor superfamily 1 isoform 15
NM_181302	WDR20	WD repeat domain 20 isoform 4
NM_181304	MRPL52	mitochondrial ribosomal protein L52 isoform d
NM_181305	MRPL52	mitochondrial ribosomal protein L52 isoform d
NM_181306	MRPL52	mitochondrial ribosomal protein L52 isoform d
NM_181307	MRPL52	mitochondrial ribosomal protein L52 isoform e
NM_181308	WDR20	WD repeat domain 20 isoform 3
NM_181309	IL22RA2	interleukin 22-binding protein isoform 2
NM_181310	IL22RA2	interleukin 22-binding protein isoform 3
NM_181311	TAZ	tafazzin isoform 2
NM_181312	TAZ	tafazzin isoform 3
NM_181313	TAZ	tafazzin isoform 4
NM_181314	TAZ	tafazzin isoform 5
NM_181339	IL24	interleukin 24 isoform 2
NM_181340	WDR21A	WD repeat domain 21A isoform 2
NM_181342	FKBP7	FK506-binding protein 7 isoform 2 precursor
NM_181349	SMURF1	Smad ubiquitination regulatory factor 1 isoform
NM_181353	ID1	inhibitor of DNA binding 1 isoform b
NM_181355	FRAT1	GSK-3 binding protein FRAT1
NM_181357	WDR23	WD repeat domain 23 isoform 2
NM_025230	WDR23	WD repeat domain 23 isoform 1
NM_181359	IL6R	interleukin 6 receptor isoform 2 precursor
NM_005832	KCNMB2	calcium-activated potassium channel beta 2
NM_181361	KCNMB2	calcium-activated potassium channel beta 2
NM_181427	GABPB2	GA binding protein transcription factor, beta
NM_181441	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181442	ADNP	activity-dependent neuroprotector
NM_004189	SOX14	SRY-box 14
NM_006183	NTS	neurotensin/neuromedin N preproprotein
NM_181454	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181455	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181456	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181457	PAX3	paired box gene 3 isoform PAX3
NM_181458	PAX3	paired box gene 3 isoform PAX3d
NM_181459	PAX3	paired box gene 3 isoform PAX3e
NM_181460	PAX3	paired box gene 3 isoform PAX3h
NM_181461	PAX3	paired box gene 3 isoform PAX3g
NM_181462	MRPL55	mitochondrial ribosomal protein L55 isoform b
NM_181463	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181464	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181465	MRPL55	mitochondrial ribosomal protein L55 isoform a
NM_181466	ITGB4BP	integrin beta 4 binding protein isoform c
NM_181467	ITGB4BP	integrin beta 4 binding protein isoform b
NM_181468	ITGB4BP	integrin beta 4 binding protein isoform a
NM_181469	ITGB4BP	integrin beta 4 binding protein isoform b
NM_144673	CKLFSF2	chemokine-like factor superfamily 2
NM_181471	RFC2	replication factor C 2 (40kD) isoform 1
NM_138410	CKLFSF7	chemokine-like factor superfamily 7 isoform a
NM_181472	CKLFSF7	chemokine-like factor superfamily 7 isoform b
NM_018177	N4BP2	Nedd4 binding protein 2
NM_032527	ZGPAT	zinc finger, CCCH-type with G patch domain
NM_181484	ZGPAT	zinc finger, CCCH-type with G patch domain
NM_181485	ZGPAT	zinc finger, CCCH-type with G patch domain
NM_181486	TBX5	T-box 5 isoform 1
NM_002638	PI3	skin-derived protease inhibitor 3 preproprotein
NM_181491	SURF5	surfeit 5 isoform a
NM_181492	TCF20	transcription factor 20 isoform 2
NM_181493	ITPA	inosine triphosphatase isoform b
NM_004767	GPR37L1	G-protein coupled receptor 37 like 1
NM_003340	UBE2D3	ubiquitin-conjugating enzyme E2D 3 isoform 1
NM_015946	PELO	CGI-17 protein
NM_005006	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1,
NM_003343	UBE2G2	ubiquitin-conjugating enzyme E2G 2 isoform 1
NM_181502	SPINLW1	serine protease inhibitor-like, with Kunitz and
NM_148957	TNFRSF19	tumor necrosis factor receptor superfamily,
NM_005461	MAFB	transcription factor MAFB
NM_180989	ITR	intimal thickness-related receptor
NM_181507	HPS5	Hermansky-Pudlak syndrome 5 isoform a
NM_181508	HPS5	Hermansky-Pudlak syndrome 5 isoform b
NM_181509	MAP1LC3A	microtubule-associated protein 1 light chain 3
NM_181510	WFDC8	WAP four-disulfide core domain 8 precursor
NM_181514	MRPL21	mitochondrial ribosomal protein L21 isoform d
NM_181515	MRPL21	mitochondrial ribosomal protein L21 isoform a
NM_002466	MYBL2	MYB-related protein B
NM_181521	CKLFSF4	chemokine-like factor superfamily 4 isoform 2
NM_181522	WFDC3	WAP four-disulfide core domain 3 isoform 2
NM_181523	PIK3R1	phosphoinositide-3-kinase, regulatory subunit,
NM_181524	PIK3R1	phosphoinositide-3-kinase, regulatory subunit,
NM_181525	WFDC3	WAP four-disulfide core domain 3 isoform 2
NM_181526	MYL9	myosin regulatory light polypeptide 9 isoform b
NM_181527	NAT5	N-acetyltransferase 5 isoform b
NM_181528	NAT5	N-acetyltransferase 5 isoform c
NM_002654	PKM2	pyruvate kinase 3 isoform 1
NM_004223	UBE2L6	ubiquitin-conjugating enzyme E2L 6 isoform 1
NM_005380	NBL1	neuroblastoma, suppression of tumorigenicity 1
NM_005390	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2
NM_007238	PXMP4	peroxisomal membrane protein 4 isoform a
NM_016006	ABHD5	CGI58 protein
NM_032471	PKIB	cAMP-dependent protein kinase inhibitor beta
NM_176822	NALP14	NACHT, LRR and PYD containing protein 14
NM_181530	WFDC3	WAP four-disulfide core domain 3 isoform 2
NM_017801	CKLFSF6	chemokine-like factor superfamily 6
NM_181531	BTN2A2	butyrophilin, subfamily 2, member A2 isoform b
NM_006995	BTN2A2	butyrophilin, subfamily 2, member A2 isoform a
NM_006603	STAG2	stromal antigen 2
NM_004296	RGS6	regulator of G-protein signalling 6
NM_181552	CUTL1	CCAAT displacement protein isoform a
NM_144601	CKLFSF3	chemokine-like factor superfamily 3 isoform a
NM_181553	CKLFSF3	chemokine-like factor superfamily 3 isoform a
NM_181554	CKLFSF3	chemokine-like factor superfamily 3 isoform a
NM_181555	CKLFSF3	chemokine-like factor superfamily 3 isoform b
NM_002915	RFC3	replication factor C 3 isoform 1
NM_181558	RFC3	replication factor C 3 isoform 2
NM_018685	ANLN	anillin, actin binding protein (scraps homolog,
NM_016474	C3orf19	hypothetical protein LOC51244
NM_002916	RFC4	replication factor C 4
NM_006060	ZNFN1A1	zinc finger protein, subfamily 1A, 1 (Ikaros)
NM_181571	CREM	cAMP responsive element modulator isoform a
NM_181573	RFC4	replication factor C 4
NM_181575	AUP1	ancient ubiquitous protein 1 isoform 2
NM_181576	AUP1	ancient ubiquitous protein 1 isoform 3
NM_022073	EGLN3	egl nine homolog 3
NM_181578	RFC5	replication factor C 5 isoform 2
NM_181581	DUS4L	dihydrouridine synthase 4-like
NM_021059	HIST2H3C	H3 histone family, member M
NM_003364	UPP1	uridine phosphorylase 1
NM_181597	UPP1	uridine phosphorylase 1
NM_181598	SPG3A	atlastin
NM_004956	ETV1	ets variant gene 1
NM_138460	CKLFSF5	chemokine-like factor superfamily 5 isoform a
NM_013252	CLEC5A	C-type lectin, superfamily member 5
NM_004914	RAB36	RAB36, member RAS oncogene family
NM_181640	CKLF	chemokine-like factor isoform b
NM_181641	CKLF	chemokine-like factor isoform d
NM_012450	SLC13A4	solute carrier family 13 (sodium/sulfate
NM_004124	GMFB	glia maturation factor, beta
NM_012094	PRDX5	peroxiredoxin 5 precursor, isoform a
NM_181651	PRDX5	peroxiredoxin 5 precursor, isoform b
NM_181652	PRDX5	peroxiredoxin 5 precursor, isoform c
NM_002717	PPP2R2A	alpha isoform of regulatory subunit B55, protein
NM_181657	LTB4R	leukotriene B4 receptor
NM_020246	SLC12A9	solute carrier family 12 (potassium/chloride
NM_006534	NCOA3	nuclear receptor coactivator 3 isoform b
NM_181659	NCOA3	nuclear receptor coactivator 3 isoform a
NM_000956	PTGER2	prostaglandin E receptor 2 (subtype EP2), 53kDa
NM_000446	PON1	paraoxonase 1
NM_014071	NCOA6	nuclear receptor coactivator 6
NM_022477	NDRG3	N-myc downstream-regulated gene 3 isoform b
NM_012395	PFTK1	PFTAIRE protein kinase 1
NM_181671	PITPNC1	phosphatidylinositol transfer protein,
NM_003605	OGT	O-linked GlcNAc transferase isoform 3
NM_181672	OGT	O-linked GlcNAc transferase isoform 1
NM_181673	OGT	O-linked GlcNAc transferase isoform 2
NM_181679	NFS1	NFS1 nitrogen fixation 1 isoform b precursor
NM_003592	CUL1	cullin 1
NM_005386	NNAT	neuronatin isoform alpha
NM_181689	NNAT	neuronatin isoform beta
NM_033426	KIAA1737	KIAA1737 protein
NM_181690	AKT3	v-akt murine thymoma viral oncogene homolog 3
NM_181696	PRDX1	peroxiredoxin 1
NM_181697	PRDX1	peroxiredoxin 1
NM_181699	PPP2R1B	beta isoform of regulatory subunit A, protein
NM_006190	ORC2L	origin recognition complex, subunit 2
