MYO9B	NM_001130065	myosin IXB isoform 2
KIF1A	NM_004321	axonal transport of synaptic vesicles
AKR1C1	NM_001353	aldo-keto reductase family 1, member C1
LRP8	NM_001018054	low density lipoprotein receptor-related protein
SERHL2	NM_014509	serine hydrolase-like 2
OR4A47	NM_001005512	olfactory receptor, family 4, subfamily A,
PICALM	NM_001008660	phosphatidylinositol-binding clathrin assembly
YTHDC1	NM_133370	splicing factor YT521-B isoform 2
LOC402694	NM_001089590	hypothetical protein LOC402694
MCF2L2	NM_015078	Rho family guanine-nucleotide exchange factor
NOL4	NM_003787	nucleolar protein 4
CNOT8	NM_004779	CCR4-NOT transcription complex, subunit 8
STK17A	NM_004760	serine/threonine kinase 17a
CACNG6	NM_145814	voltage-dependent calcium channel gamma-6
ADAMTSL2	NM_014694	ADAMTS-like 2
TAS1R1	NM_138697	sweet taste receptor T1r isoform b
UBE2D3	NM_181893	ubiquitin-conjugating enzyme E2D 3 isoform 3
SMARCA4	NM_003072	SWI/SNF-related matrix-associated
HNRNPK	NM_031262	heterogeneous nuclear ribonucleoprotein K
PPARGC1A	NM_013261	peroxisome proliferator-activated receptor
GAB3	NM_001081573	Gab3 protein isoform 1
CASP1	NM_033292	caspase 1 isoform alpha precursor
PRPF40A	NM_017892	formin binding protein 3
CRYM	NM_001888	crystallin, mu isoform 1
ACCN1	NM_001094	amiloride-sensitive cation channel 1, neuronal
CCDC28B	NM_024296	coiled-coil domain containing 28B
COL12A1	NM_004370	collagen, type XII, alpha 1 long isoform
RPP21	NM_024839	ribonuclease P/MRP 21kDa subunit
CHRNA3	NM_000743	cholinergic receptor, nicotinic, alpha 3
ZNF597	NM_152457	zinc finger protein 597
FAM111A	NM_022074	hypothetical protein LOC63901
ELN	NM_001081753	elastin isoform c precursor
CCBE1	NM_133459	collagen and calcium binding EGF domains 1
HDAC9	NM_058177	histone deacetylase 9 isoform 2
C6orf129	NM_138493	hypothetical protein LOC154467
C1orf222	NM_001003808	hypothetical protein LOC339457
FAM131B	NM_014690	hypothetical protein LOC9715 isoform b
RYK	NM_001005861	RYK receptor-like tyrosine kinase isoform 1
REG3G	NM_198448	regenerating islet-derived 3 gamma
HIST1H2AD	NM_021065	histone cluster 1, H2ad
ITPK1	NM_014216	inositol 1,3,4-triphosphate 5/6 kinase
KLHL26	NM_018316	kelch-like 26
WDR57	NM_004814	WD repeat domain 57 (U5 snRNP specific)
STAT1	NM_007315	signal transducer and activator of transcription
CSF1	NM_000757	colony stimulating factor 1 isoform a precursor
MTERFD3	NM_001033050	transcription termination factor-like protein
LIF	NM_002309	leukemia inhibitory factor (cholinergic
SMU1	NM_018225	smu-1 suppressor of mec-8 and unc-52 homolog
ARPC5L	NM_030978	actin related protein 2/3 complex, subunit
CPEB1	NM_001079533	cytoplasmic polyadenylation element binding
MINA	NM_032778	MYC induced nuclear antigen isoform b
SLC16A7	NM_004731	solute carrier family 16, member 7
TCF7	NM_201632	transcription factor 7 (T-cell specific,
PUS7L	NM_001098614	pseudouridylate synthase 7 homolog (S.
RAB6A	NM_002869	RAB6A, member RAS oncogene family isoform a
UACA	NM_018003	uveal autoantigen with coiled-coil domains and
SLC25A16	NM_152707	solute carrier family 25, member 16
AKAP12	NM_144497	A-kinase anchor protein 12 isoform 2
SCFD1	NM_182835	vesicle transport-related protein isoform b
MED12	NM_005120	mediator of RNA polymerase II transcription,
RPS12	NM_001016	ribosomal protein S12
C9orf43	NM_152786	hypothetical protein LOC257169
SCAND1	NM_033630	SCAN domain containing protein 1
GRM2	NM_000839	glutamate receptor, metabotropic 2 isoform a
C6orf89	NM_152734	hypothetical protein LOC221477
JUND	NM_005354	jun D proto-oncogene
NCR2	NM_004828	natural cytotoxicity triggering receptor 2
MRPL27	NM_016504	mitochondrial ribosomal protein L27
RAB30	NM_014488	RAB30, member RAS oncogene family
C14orf177	NM_182560	hypothetical protein LOC283598
FLJ25404	NM_001109660	hypothetical protein LOC146378 isoform 2
CEP78	NM_001098802	centrosomal protein 78kDa isoform a
LOC553158	NM_181334	PRR5-ARHGAP8 fusion protein
MAPRE2	NM_014268	microtubule-associated protein, RP/EB family,
LOC643923	NM_001039772	hypothetical protein LOC643923
MRP63	NM_024026	mitochondrial ribosomal protein 63
SRL	NM_001098814	sarcalumenin
TRIM32	NM_012210	TAT-interactive protein, 72-KD
OIP5	NM_007280	Opa interacting protein 5
CNTNAP4	NM_033401	cell recognition protein CASPR4 isoform 1
USP30	NM_032663	ubiquitin specific peptidase 30
SLC26A1	NM_134425	solute carrier family 26, member 1 isoform b
PAIP2	NM_001033112	poly(A) binding protein interacting protein 2
BMP6	NM_001718	bone morphogenetic protein 6 preproprotein
ZIC1	NM_003412	zinc finger protein of the cerebellum 1
CASC3	NM_007359	metastatic lymph node 51
TDRD3	NM_030794	tudor domain containing 3
C3orf60	NM_199070	chromosome 3 open reading frame 60 isoform b
ZNF302	NM_018443	zinc finger protein 302
FOXS1	NM_004118	forkhead box S1
GALNT7	NM_017423	polypeptide N-acetylgalactosaminyltransferase 7
C1orf31	NM_001012985	hypothetical protein LOC388753
MAF	NM_005360	v-maf musculoaponeurotic fibrosarcoma oncogene
NNAT	NM_005386	neuronatin isoform alpha
H2AFV	NM_201516	H2A histone family, member V isoform 4
CNR1	NM_033181	central cannabinoid receptor isoform b
TRMT1	NM_017722	TRM1 tRNA methyltransferase 1
KRIT1	NM_194456	krev interaction trapped 1 isoform 1
CSRP1	NM_004078	cysteine and glycine-rich protein 1
SCN1B	NM_199037	sodium channel, voltage-gated, type I, beta
PAOX	NM_207128	polyamine oxidase (exo-N4-amino) isoform 4
BMP4	NM_001202	bone morphogenetic protein 4 preproprotein
TGIF1	NM_003244	TG-interacting factor isoform c
TUBB2C	NM_006088	tubulin, beta, 2
PDS5A	NM_001100400	PDS5, regulator of cohesion maintenance, homolog
EPYC	NM_004950	dermatan sulfate proteoglycan 3 precursor
KCNC1	NM_001112741	Shaw-related voltage-gated potassium channel
TMEM222	NM_032125	transmembrane protein 222
FUBP3	NM_003934	far upstream element (FUSE) binding protein 3
PPP1R8	NM_138558	protein phosphatase 1 regulatory inhibitor
LDHD	NM_194436	D-lactate dehydrogenase isoform 2 precursor
GNL3	NM_014366	guanine nucleotide binding protein-like 3
MRPL2	NM_015950	mitochondrial ribosomal protein L2
DDX11	NM_152438	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11
ARSF	NM_004042	arylsulfatase F precursor
MRPS15	NM_031280	mitochondrial ribosomal protein S15
TMEM110	NM_198563	transmembrane protein 110
SCGB1C1	NM_145651	secretoglobin, family 1C, member 1
MPZL3	NM_198275	myelin protein zero-like 3
TIMP3	NM_000362	tissue inhibitor of metalloproteinase 3
ANXA8	NM_001040084	annexin A8
UGT1A6	NM_001072	UDP glycosyltransferase 1 family, polypeptide A6
DPY19L2	NM_173812	dpy-19-like 2
WRNIP1	NM_020135	Werner helicase interacting protein isoform 1
BSCL2	NM_032667	seipin isoform 2
C1orf174	NM_207356	hypothetical protein LOC339448
SETD5	NM_001080517	SET domain containing 5
HIST1H2BN	NM_003520	histone cluster 1, H2bn
PAK7	NM_020341	p21-activated kinase 7
TOMM20L	NM_207377	translocase of outer mitochondrial membrane 20
RAI1	NM_030665	retinoic acid induced 1
WSB1	NM_015626	WD repeat and SOCS box-containing 1 isoform 1
GTF3C3	NM_012086	general transcription factor IIIC, polypeptide
C1orf116	NM_023938	specifically androgen-regulated protein isoform
ACTR10	NM_018477	uncharacterized hypothalamus protein HARP11
CLEC12B	NM_205852	C-type lectin domain family 12, member B isoform
MDC1	NM_014641	mediator of DNA damage checkpoint 1
CCDC41	NM_001042399	NY-REN-58 antigen
SPOP	NM_001007228	speckle-type POZ protein
AMELX	NM_001142	amelogenin (X chromosome) isoform 1 precursor
ZNF414	NM_032370	zinc finger protein 414
LDLRAD2	NM_001013693	low density lipoprotein receptor class A domain
DYX1C1	NM_130810	dyslexia susceptibility 1 candidate 1 isoform a
ZNF654	NM_018293	zinc finger protein 654
TP53I11	NM_001076787	p53-induced protein
LOC727797	NM_001105536	C-C chemokine receptor type 5-like
NANOS3	NM_001098622	nanos homolog 3
CRYL1	NM_015974	lambda-crystallin
CHCHD9	NM_001010916	coiled-coil-helix-coiled-coil-helix domain
HEPH	NM_138737	hephaestin isoform a
OR13J1	NM_001004487	olfactory receptor, family 13, subfamily J,
EYA4	NM_172103	eyes absent 4 isoform b
CSGALNACT1	NM_018371	chondroitin sulfate
CSK	NM_004383	c-src tyrosine kinase
EPHB1	NM_004441	ephrin receptor EphB1 precursor
WTIP	NM_001080436	Wilms tumor 1 interacting protein
KPRP	NM_001025231	keratinocyte proline-rich protein
OPN1MW2	NM_001048181	opsin 1 (cone pigments), medium-wave-sensitive
LOC646643	NM_001101401	hypothetical protein LOC646643
PHACTR2	NM_001100165	phosphatase and actin regulator 2 isoform 2
TUBG2	NM_016437	tubulin, gamma 2
TTYH1	NM_020659	tweety 1 isoform 1
FCAR	NM_133279	Fc alpha receptor isoform i precursor
DUSP23	NM_017823	dual specificity phosphatase 23
OTC	NM_000531	ornithine carbamoyltransferase precursor
PSMB9	NM_002800	proteasome beta 9 subunit isoform 1 proprotein
HSF1	NM_005526	heat shock transcription factor 1
OR11H6	NM_001004480	olfactory receptor, family 11, subfamily H,
NARG1L	NM_024561	NMDA receptor regulated 1-like protein isoform
CD86	NM_006889	CD86 antigen isoform 2 precursor
REEP4	NM_025232	receptor accessory protein 4
PPM1B	NM_002706	protein phosphatase 1B isoform 1
TTC30A	NM_152275	tetratricopeptide repeat domain 30A
OPN3	NM_014322	opsin 3
MED15	NM_001003891	mediator complex subunit 15 isoform a
PCBP4	NM_020418	poly(rC) binding protein 4 isoform a
RPS6KA5	NM_182398	ribosomal protein S6 kinase, 90kDa, polypeptide
ZDHHC9	NM_016032	zinc finger, DHHC domain containing 9
TRDMT1	NM_176081	tRNA aspartic acid methyltransferase 1 isoform
MAFK	NM_002360	v-maf musculoaponeurotic fibrosarcoma oncogene
C3orf60	NM_199069	chromosome 3 open reading frame 60 isoform a
MSR1	NM_002445	macrophage scavenger receptor 1 isoform type 2
PALLD	NM_016081	palladin
KISS1R	NM_032551	G protein-coupled receptor 54
PSMA8	NM_001025096	proteasome (prosome, macropain) subunit, alpha
TEC	NM_003215	tec protein tyrosine kinase
GRASP	NM_181711	GRP1 (general receptor for phosphoinositides
ZNF276	NM_001113525	zinc finger protein 276 isoform a
UBE2J2	NM_194315	ubiquitin conjugating enzyme E2, J2 isoform 1
DTX3	NM_178502	deltex 3 homolog
CECR2	NM_031413	cat eye syndrome chromosome region, candidate 2
DCT	NM_001922	dopachrome tautomerase (dopachrome
DDOST	NM_005216	dolichyl-diphosphooligosaccharide-protein
CASC4	NM_138423	cancer susceptibility candidate 4 isoform a
TRIM58	NM_015431	tripartite motif-containing 58
GAS2	NM_177553	growth arrest-specific 2
CSTB	NM_000100	cystatin B
RET	NM_020975	ret proto-oncogene isoform a
CD83	NM_001040280	CD83 antigen isoform b
C1QL2	NM_182528	complement component 1, q subcomponent-like 2
GPR108	NM_020171	G protein-coupled receptor 108 isoform 2
LOC389435	NM_001089587	hypothetical protein LOC389435
EFTUD2	NM_004247	elongation factor Tu GTP binding domain
XPO7	NM_015024	exportin 7 isoform b
TACR2	NM_001057	tachykinin receptor 2
SYCE1	NM_201564	synaptonemal complex central element protein 1
TTC15	NM_016030	tetratricopeptide repeat domain 15
SPG3A	NM_015915	spastic paraplegia 3A isoform a
SSRP1	NM_003146	structure specific recognition protein 1
SFRS18	NM_032870	splicing factor, arginine/serine-rich 130
ATPBD3	NM_145232	ATP binding domain 3
EDA	NM_001399	ectodysplasin A isoform EDA-A1
WBP5	NM_001006612	WW domain binding protein 5
ZFP161	NM_003409	zinc finger protein 161 homolog
BRPF1	NM_001003694	bromodomain and PHD finger-containing protein 1
ARHGEF7	NM_145735	PAK-interacting exchange factor beta isoform b
PRDM10	NM_199438	PR domain containing 10 isoform 3
ADAR	NM_001025107	adenosine deaminase, RNA-specific isoform d
ZNRF3	NM_032173	zinc and ring finger 3
GPC6	NM_005708	glypican 6 precursor
ZNF765	NM_001040185	zinc finger protein 765
ADAM15	NM_207191	a disintegrin and metalloproteinase domain 15
PTP4A3	NM_032611	protein tyrosine phosphatase type IVA, member 3
PLAT	NM_000930	plasminogen activator, tissue type isoform 1
JHDM1D	NM_030647	jumonji C domain containing histone demethylase
ACOT6	NM_001037162	acyl-CoA thioesterase 6
RNF220	NM_018150	ring finger protein 220
UEVLD	NM_001040697	ubiquitin-conjugating enzyme E2-like isoform a
C15orf59	NM_001039614	hypothetical protein LOC388135
MATN2	NM_030583	matrilin 2 isoform b precursor
FLJ14154	NM_001083600	hypothetical protein LOC79903
ADD3	NM_016824	adducin 3 (gamma) isoform a
RAB9A	NM_004251	RAB9A, member RAS oncogene family
CTH	NM_001902	cystathionase isoform 1
RABL5	NM_022777	RAB, member RAS oncogene family-like 5
ZNF468	NM_199132	zinc finger protein ZNF468 isoform 1
TMPRSS3	NM_024022	transmembrane protease, serine 3 isoform 1
ZNF600	NM_198457	zinc finger protein 600
RNF144B	NM_182757	IBR domain containing 2
KIT	NM_001093772	v-kit Hardy-Zuckerman 4 feline sarcoma viral
KANK3	NM_198471	ankyrin repeat domain 47
HMGN4	NM_006353	high mobility group nucleosomal binding domain
SAMD9	NM_017654	sterile alpha motif domain containing 9
CHRNG	NM_005199	cholinergic receptor, nicotinic, gamma
KIAA1622	NM_020958	HEAT-like repeat-containing protein isoform 2
PLK3	NM_004073	polo-like kinase 3
NAP5	NM_207363	Nck-associated protein 5 isoform 1
NUP98	NM_139131	nucleoporin 98kD isoform 2
ACSBG2	NM_030924	bubblegum related protein
FUT8	NM_178154	fucosyltransferase 8 isoform a
CCNI2	NM_001039780	cyclin I family, member 2
PRR6	NM_181716	proline rich 6
HARS	NM_002109	histidyl-tRNA synthetase
WBSCR27	NM_152559	Williams-Beuren syndrome chromosome region 27
DALRD3	NM_001009996	DALR anticodon binding domain containing 3
CEP68	NM_015147	centrosomal protein 68kDa
C10orf91	NM_173541	hypothetical protein LOC170393
ASTN2	NM_198187	astrotactin 2 isoform c
RABEP1	NM_001083585	rabaptin, RAB GTPase binding effector protein 1
CES3	NM_024922	carboxylesterase 3
ANK2	NM_001148	ankyrin 2 isoform 1
TTYH1	NM_001005367	tweety 1 isoform 2
SMC3	NM_005445	structural maintenance of chromosomes 3
HOOK2	NM_001100176	hook homolog 2 isoform 2
SELENBP1	NM_003944	selenium binding protein 1
SGOL1	NM_001012410	shugoshin-like 1 isoform A2
ADAMTS2	NM_014244	ADAM metallopeptidase with thrombospondin type 1
IDUA	NM_000203	alpha-L-iduronidase precursor
SPAG11B	NM_058200	sperm associated antigen 11B isoform G
SERPINE2	NM_006216	plasminogen activator inhibitor type 1, member
GLT8D3	NM_173601	glycosyltransferase 8 domain containing 3
OVOL1	NM_004561	OVO-like 1 binding protein
HLA-A	NM_002116	major histocompatibility complex, class I, A
PFTK2	NM_139158	PFTAIRE protein kinase 2
TMEM108	NM_023943	transmembrane protein 108
DYNC2LI1	NM_001012665	dynein 2 light intermediate chain isoform 3
GAS1	NM_002048	growth arrest-specific 1
OSBPL6	NM_032523	oxysterol-binding protein-like protein 6 isoform
C1orf85	NM_144580	kidney predominant protein NCU-G1
C3orf60	NM_199073	chromosome 3 open reading frame 60 isoform b
GALNT8	NM_017417	polypeptide N-acetylgalactosaminyltransferase 8
GJB3	NM_024009	connexin 31
HDAC9	NM_178423	histone deacetylase 9 isoform 4
KLB	NM_175737	klotho beta
CCDC69	NM_015621	coiled-coil domain containing 69
LOC389833	NM_001033515	hypothetical protein LOC389833
ABCG5	NM_022436	sterolin 1
MDN1	NM_014611	MDN1, midasin homolog
CMTM1	NM_181272	chemokine-like factor superfamily 1 isoform 4
GCC2	NM_014635	GRIP and coiled-coil domain-containing 2 isoform
ANKRD1	NM_014391	cardiac ankyrin repeat protein
DCLRE1C	NM_001033855	artemis protein isoform a
HARS2	NM_012208	histidyl-tRNA synthetase 2 precursor
USP10	NM_005153	ubiquitin specific protease 10
CAP1	NM_001105530	adenylyl cyclase-associated protein
NLRP10	NM_176821	NLR family, pyrin domain containing 10
ADAR	NM_001111	adenosine deaminase, RNA-specific isoform a
PNKD	NM_015488	myofibrillogenesis regulator 1 isoform 1
C12orf24	NM_013300	hypothetical protein LOC29902
MED11	NM_001001683	mediator complex subunit 11
TRIT1	NM_017646	tRNA isopentenyltransferase 1
GALK2	NM_001001556	galactokinase 2 isoform 2
POGZ	NM_207171	pogo transposable element with ZNF domain
HEATR1	NM_018072	protein BAP28
KLHDC6	NM_207335	kelch domain containing 6
TMEM179	NM_207379	transmembrane protein 179
ERAS	NM_181532	ES cell expressed Ras
SPACA4	NM_133498	sperm acrosomal membrane protein 14
GCET2	NM_152785	germinal center expressed transcript 2 isoform
KLK8	NM_144505	kallikrein 8 isoform 2
INSIG2	NM_016133	insulin induced protein 2
GREB1	NM_148903	GREB1 protein isoform c
TTC8	NM_198309	tetratricopeptide repeat domain 8 isoform B
TNNI3K	NM_001112808	TNNI3 interacting kinase isoform a
HCFC1R1	NM_001002018	host cell factor C1 regulator 1 (XPO1 dependant)
AMZ2	NM_001033569	archaemetzincins-2 isoform 1
KITLG	NM_003994	KIT ligand isoform a precursor
HIST1H4F	NM_003540	histone cluster 1, H4f
OCRL	NM_001587	phosphatidylinositol polyphosphate 5-phosphatase
WDFY3	NM_014991	WD repeat and FYVE domain containing 3 isoform
AKIRIN2	NM_018064	akirin 2
C14orf21	NM_174913	hypothetical protein LOC161424
DHDH	NM_014475	dimeric dihydrodiol dehydrogenase
BPIL2	NM_174932	bactericidal/permeability-increasing
FOXP1	NM_001012505	forkhead box P1 isoform 2
CNNM3	NM_017623	cyclin M3 isoform 1
CCT7	NM_001009570	chaperonin containing TCP1, subunit 7 isoform b
FAM118A	NM_017911	hypothetical protein LOC55007
FNDC3A	NM_001079673	fibronectin type III domain containing 3A
IFIT3	NM_001031683	interferon-induced protein with
ANKRD9	NM_152326	ankyrin repeat domain 9
LOC440087	NM_001013698	hypothetical protein LOC440087
RPH3A	NM_014954	rabphilin 3A homolog
SCN2A	NM_001040143	sodium channel, voltage-gated, type II, alpha
ANXA1	NM_000700	annexin I
SFRS18	NM_015491	splicing factor, arginine/serine-rich 130
WDR65	NM_152498	WD repeat domain 65
ACLY	NM_001096	ATP citrate lyase isoform 1
SLC3A2	NM_001012661	solute carrier family 3 (activators of dibasic
FLT1	NM_002019	fms-related tyrosine kinase 1
GFRA1	NM_145793	GDNF family receptor alpha 1 isoform b
C20orf160	NM_080625	hypothetical protein LOC140706
CAV3	NM_033337	caveolin 3
CREB5	NM_004904	cAMP responsive element binding protein 5
KCNH3	NM_012284	potassium voltage-gated channel, subfamily H
LOC440093	NM_001013699	histone H3-like
BAGE	NM_001187	B melanoma antigen
PCDHB11	NM_018931	protocadherin beta 11 precursor
ZC3H3	NM_015117	zinc finger CCCH-type containing 3
GBA2	NM_020944	bile acid beta-glucosidase
CLCN6	NM_021736	chloride channel 6 isoform ClC-6c
MS4A6A	NM_152852	membrane-spanning 4-domains, subfamily A, member
TPO	NM_175719	thyroid peroxidase isoform b
MICA	NM_000247	MHC class I chain-related gene A protein
G6PC2	NM_001081686	islet-specific glucose-6-phosphatase-related
SDCBP	NM_001007069	syntenin isoform 3
DMBT1	NM_004406	deleted in malignant brain tumors 1 isoform a
TRIM7	NM_203293	tripartite motif-containing 7 isoform 1
BBS2	NM_031885	Bardet-Biedl syndrome 2 protein
CAPSL	NM_144647	calcyphosine-like
RFX4	NM_002920	regulatory factor X4 isoform b
PARP12	NM_022750	zinc finger CCCH-type domain containing 1
STMN3	NM_015894	SCG10-like-protein
SLC41A2	NM_032148	solute carrier family 41, member 2
LRRC19	NM_022901	leucine rich repeat containing 19
LIPT1	NM_015929	lipoyltransferase 1
INPP4B	NM_001101669	inositol polyphosphate-4-phosphatase, type II,
AOC2	NM_001158	amine oxidase, copper containing 2 isoform a
C3orf60	NM_199074	chromosome 3 open reading frame 60 isoform b
MOG	NM_002433	myelin oligodendrocyte glycoprotein isoform
RHBDD2	NM_001040456	rhomboid domain containing 2 isoform a
PDE4A	NM_006202	phosphodiesterase 4A, cAMP-specific isoform 4
PSMA4	NM_001102668	proteasome alpha 4 subunit isoform 2
ARID1A	NM_006015	AT rich interactive domain 1A isoform a
ATG2A	NM_015104	ATG2 autophagy related 2 homolog A
RHEBL1	NM_144593	Ras homolog enriched in brain like 1
KRTAP19-1	NM_181607	keratin associated protein 19-1
